Id,SalePrice
1461,122431.7375568193
1462,156957.53944901307
1463,183775.27862424852
1464,198435.04029685247
1465,188838.45765827954
1466,173646.7455620221
1467,175167.4953859188
1468,164882.85725288227
1469,189583.32112697858
1470,120787.92753411488
1471,187771.95705975237
1472,98351.12061158598
1473,98559.74258722126
1474,144642.00572091105
1475,115264.54704659877
1476,382317.7784853657
1477,247474.2433275655
1478,281987.93141346774
1479,261924.51758340636
1480,534577.756761276
1481,329484.6710340469
1482,208477.16537341193
1483,173268.27861154557
1484,164509.1359070299
1485,183797.1046939672
1486,194100.35485659682
1487,337444.70606483676
1488,237546.64142876258
1489,200735.84131607533
1490,234153.3878697339
1491,188287.76061210613
1492,88160.78915966525
1493,176233.64410743554
1494,289841.059593494
1495,283777.06996712397
1496,237399.33774938175
1497,181180.36170595963
1498,163796.98334036348
1499,157586.77696489933
1500,155987.97720840498
1501,175985.2163307541
1502,146549.63634859238
1503,287935.22145622247
1504,245158.3313962431
1505,227199.07110414983
1506,183539.72344548203
1507,256324.94040728806
1508,194802.40008606546
1509,157605.48195739894
1510,146178.06403335207
1511,151503.22227601448
1512,172098.46693439258
1513,139245.0485126386
1514,154432.2121730535
1515,193873.31956641265
1516,147856.84630974973
1517,168738.9968998236
1518,132745.35881872402
1519,220369.13205050043
1520,132028.4688203318
1521,136522.5734955867
1522,169284.42291429674
1523,113185.02621358384
1524,120849.64606920801
1525,124137.38227026908
1526,111061.22658768872
1527,107041.6583953175
1528,131565.31828382402
1529,150083.92469981022
1530,184470.29680017114
1531,106357.97192484155
1532,96051.6625346354
1533,151757.81151137
1534,122930.88998344826
1535,151932.99589459732
1536,109738.41827173633
1537,65418.97800049823
1538,150479.65303348989
1539,189608.02493819158
1540,91474.78848495029
1541,140521.4954941662
1542,140397.76557051387
1543,200111.23050289194
1544,86262.7657853782
1545,112151.58169920469
1546,132225.44561430064
1547,135018.41645030378
1548,139955.61229417974
1549,121559.22731461935
1550,136187.0235201288
1551,108890.15093380894
1552,138912.79533155164
1553,149122.78059745452
1554,118405.24142372716
1555,163091.91488126904
1556,79813.87636523161
1557,102928.49466664402
1558,96573.44322657456
1559,86562.94643089987
1560,131916.0815559228
1561,124171.37559758185
1562,132057.37600521647
1563,121064.85804970306
1564,160996.0374550596
1565,150765.65367331446
1566,239810.77992865717
1567,74376.43107033602
1568,230509.287317417
1569,132899.65273528837
1570,135821.20534626837
1571,119196.01912653507
1572,144643.40719504026
1573,242029.39355049067
1574,112982.65158609633
1575,224460.0257198382
1576,265604.45201072854
1577,188137.545616381
1578,138425.46547398512
1579,146655.3963011497
1580,190184.1559741117
1581,160272.10238837707
1582,125035.55986059402
1583,318584.25234301673
1584,223398.31302348804
1585,139868.79973174277
1586,70581.00591726527
1587,101249.96927721667
1588,154759.42558315294
1589,97091.6865405645
1590,133268.83155576678
1591,94948.556581248
1592,116893.65079670592
1593,121358.06228542337
1594,133647.0262140953
1595,107755.35566557164
1596,237441.41618016723
1597,196630.7641005604
1598,209455.7887759976
1599,167659.7180829135
1600,162968.4205959512
1601,63189.22455060495
1602,110810.4687433484
1603,78281.10718689818
1604,267708.1011021441
1605,247302.54938299296
1606,168945.11957776808
1607,172314.7394979222
1608,209829.7850152125
1609,182753.02654313488
1610,154652.80392065947
1611,132057.8571327364
1612,171962.07812724588
1613,166184.24117512276
1614,124366.22464955252
1615,91196.89860390378
1616,74939.62397132933
1617,92617.97995339363
1618,127112.44524342693
1619,144485.24753512378
1620,169040.6978792782
1621,140444.84217760887
1622,141429.45000763348
1623,276322.4237499418
1624,215045.4944764597
1625,118986.13533924927
1626,164326.58525897888
1627,191281.50558637548
1628,285394.41861976054
1629,179401.78289211713
1630,370449.258179212
1631,213286.49788182648
1632,238652.35778249853
1633,173662.15471390414
1634,189935.41757863728
1635,175404.8454104148
1636,154706.49498712545
1637,200335.9083798965
1638,183642.30158049887
1639,179473.36698667746
1640,254749.02420868527
1641,175331.12607331586
1642,232387.13687064615
1643,219821.02184024738
1644,235072.2408007379
1645,207629.6183903169
1646,155968.60909385694
1647,152012.736005723
1648,130890.65627021194
1649,141187.2643220891
