ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.015164018779689958,0.0016999386278627115,0.017949755521986077,0.0839544888987235,0.8812317981717378
2,0.8066412153856621,0.0004699443397136223,0.006136069227377846,0.14415649233215927,0.042596278715087095
3,0.5278712629368432,0.001878789895326424,0.012518068574010334,0.1629937886756156,0.29473808991820455
4,0.2264042433081126,0.007858334051115166,0.028955688223566346,0.2622674235111838,0.47451431090602214
5,0.4547954952552904,0.0005852626106955911,0.016469959308511764,0.475508258335453,0.052641024490049204
6,0.17472353579741356,0.0013220922127685807,0.024825556379149617,0.6672120306700742,0.13191678494059417
7,0.21916163746393874,0.04482232105334498,0.5737497535445405,0.1093992031277576,0.052867084810418186
8,0.931524635336483,0.005776746747432991,0.012323697808602296,0.02350904379781689,0.02686587630966488
9,0.8940712041019695,0.000333240578144106,0.001974678343956277,0.0725064041091219,0.031114472866808122
10,0.47990076111821744,0.0007015773360964164,0.03181953473205989,0.4336546274696552,0.05392349934397108
11,0.8468862787412365,0.0002840251191831198,0.0021993635861783678,0.11871356974717892,0.03191676280622317
12,0.02384800179021729,0.003331931318709365,0.4379793094460072,0.28200852813327554,0.25283222931179067
13,0.7648377305557634,0.0004990386168585291,0.011529665944190547,0.09235926312636536,0.1307743017568221
14,0.7520697220059699,0.0029054677952412757,0.029054342690869383,0.10674023587132253,0.10923023163659693
15,0.8964589527897318,0.0004964024947661887,0.004220784448599154,0.08345212262920712,0.015371737637695889
16,0.8476788568932225,0.0005609447604438295,0.003400664948319438,0.11144882203881466,0.036910711359199454
17,0.20725586270416974,0.0011593355650590584,0.048751597186161295,0.6761706391290404,0.0666625654155694
18,0.41105315510241336,0.0007810438242869626,0.02744568144978847,0.5168078293596787,0.04391229026383255
19,0.21003488578402507,0.003689045145351074,0.03672911224380533,0.12734400083033992,0.6222029559964786
20,0.008258076830844228,0.018489574596475628,0.7862593096243555,0.011990234236409247,0.17500280471191526
21,0.5637346900667687,0.004625594808054757,0.035504999666140596,0.2704718646847179,0.12566285077431813
22,0.0002090973330496525,0.0019716897766397005,0.009870729439891443,0.0011208199735964126,0.9868276634768227
23,0.7597693307708497,0.00042739297962807876,0.011045718685382103,0.14698195939374747,0.08177559817039269
24,0.0020991663739773625,0.017397377020280578,0.04696228021475554,0.003129882794638506,0.930411293596348
25,0.7118231400813992,0.0010679358660540994,0.00533297155634559,0.18330384805749161,0.09847210443870942
26,0.29930076234017605,0.00659768120172404,0.12120054614578551,0.07861527841885363,0.4942857318934607
27,0.9620975299166539,0.0004528791629451167,0.0011515355294635793,0.008763134301648668,0.027534921089288726
28,0.08098718249620188,0.07108633654815491,0.27012875677859355,0.04017920220735159,0.5376185219696981
29,0.266907219322471,0.0010152701405089105,0.04308937071906947,0.4665548334438403,0.22243330637411035
30,0.4077490481714465,0.0009658530677201565,0.02829348540351219,0.5106882561017535,0.05230335725556758
31,0.2569035041557073,0.006725655722069759,0.13493003970123274,0.1564411886905997,0.44499961173039054
32,0.8654254027024849,0.0006985670216936972,0.0009095459015270113,0.03750911984580029,0.09545736452849413
33,0.16359438589476666,0.008902686252068491,0.17623720997052594,0.0881250089799648,0.5631407089026741
34,0.969443547919122,0.00060888825996836,0.0012573423816774855,0.011785034634398705,0.01690518680483339
35,0.7826673618147176,0.016911957537687258,0.0309197200963248,0.015818329015925402,0.15368263153534492
36,0.46362101396470434,0.00044556720450831394,0.026241768278920382,0.3441633490106919,0.165528301541175
37,0.00852078035036196,0.002775830016528418,0.013249531526901535,0.0056663992628021315,0.9697874588434059
38,0.9275146097302429,0.00020005295538508326,0.0008188830703579947,0.04900858394838439,0.022457870295629727
39,0.28831886196504136,0.0012948344085190323,0.026711425329698252,0.5465005501101133,0.13717432818662803
40,0.41620566999893804,0.0014667722713351716,0.04784732971977834,0.0612586418202584,0.47322158618969
41,0.04362559026534442,0.009118099085346639,0.05096352150921089,0.6092147690676167,0.2870780200724813
42,0.0005297111741931417,0.0043305346305051035,0.023056367736114098,0.0013871473437776724,0.9706962391154099
43,0.44072040901481835,0.002105303040825615,0.006822483871221136,0.09520830386417113,0.45514350020896366
44,0.0003870530521991544,0.013757656462078388,0.00998775141364919,0.0014889449484125422,0.9743785941236607
45,0.16150981848401824,0.008064328438834284,0.263499596984897,0.1073718316129488,0.4595544244793016
46,0.3025840542024053,0.0037964646724729326,0.03237409466135314,0.06040748754933844,0.6008378989144302
47,0.24474551879511608,0.003942699740863094,0.043599444775855686,0.17047112252429522,0.5372412141638699
48,0.48160797823026547,0.0005927797650996959,0.06556631049928768,0.3201929596173272,0.1320399718880199
49,0.31646234425790204,0.0015148024584402705,0.03415906835566484,0.38657130837751796,0.26129247655047494
50,0.05416050410282313,0.006998057762703373,0.05586103426483369,0.2861829576241434,0.5967974462454964
51,0.09301483394314772,0.016079877742930793,0.02623258472811659,0.013249267336470598,0.8514234362493344
52,0.21858440390861136,0.0016748400254582704,0.018425756416053533,0.5942157999411403,0.16709919970873666
53,0.9826921492405711,0.00036942704674830724,0.0012356755577759206,0.008550314882531607,0.007152433272373158
54,0.0426935213036026,0.013103816188724488,0.030420423664693885,0.005475395088894294,0.9083068437540848
55,0.039971467598559865,0.047505871186630605,0.39785417844224097,0.025441821354929412,0.48922666141763915
56,0.3732107433162073,0.0053217116721084295,0.0638794326642336,0.20614332528831286,0.3514447870591378
57,0.6111182992255717,0.0004662590924578379,0.007615810081296759,0.3196117449439598,0.06118788665671401
58,0.00043902852291141046,0.016642623025545103,0.018761455323132628,0.0011252239454334868,0.9630316691829774
59,0.003493132324449216,0.013386051528663036,0.03771775982535955,0.004849090365112562,0.9405539659564157
60,0.844358827070145,0.0006616166321774106,0.002382056028316382,0.019841375831613557,0.13275612443774765
61,0.7638046073537281,0.003919965642699866,0.04410733085627273,0.059761740321654225,0.1284063558256452
62,0.11725711384684143,0.0005960540293842293,0.11125457408512023,0.6014114861083917,0.16948077193026245
63,0.3635264520109084,0.0028787458566075833,0.018073758864684267,0.29650223834961054,0.3190188049181892
64,0.00021183896918203904,0.00347237233339663,0.006147641485141853,0.0006499026834075371,0.9895182445288719
65,0.0006659258008335776,0.0008733426896937148,0.0015223190779032499,0.0003446877610343247,0.9965937246705352
